scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
29,46.15149,45.454338,0.03711821,269.15527,330.63855,0.06784838,29.291975,605.4616,0.069286205,597.3876,22.699158,0.029837895,53.082844,581.0735,0.069246694,246.46336,320.69058,0.11528637,249.06552,330.97372,0.13829842,249.03561,328.28333,0.16151303,76.27172,587.25397,0.07085674,22.486181,596.8531,0.08216886,253.3211,331.59604,0.09815346
30,590.5909,350.3101,0.04040872,372.6817,301.56485,0.040520456,29.163914,605.5345,0.06783273,372.9944,309.22766,0.03511572,52.812325,580.8757,0.052412644,31.697239,604.39575,0.09597656,371.55215,305.7866,0.08109812,17.981792,595.53784,0.101963066,26.820122,595.9222,0.0555932,22.38396,596.9147,0.088243015,29.829096,597.4602,0.07841416
31,590.57513,462.26663,0.04116142,469.20215,284.6604,0.060424045,28.852463,605.1494,0.052468188,501.54996,420.4823,0.049407788,20.672226,613.21124,0.034349553,500.4515,417.42947,0.1157406,504.47705,434.17224,0.15353052,505.14136,425.4897,0.11147276,514.4557,424.28058,0.056291427,22.312757,596.9399,0.05373336,508.9177,426.40793,0.06656332
32,590.4973,445.89664,0.039405685,397.0152,326.71207,0.072155975,29.128387,605.3495,0.057388313,389.96317,316.89612,0.041642766,20.788315,613.11395,0.04044924,375.2261,321.87326,0.11637808,384.1635,338.65503,0.18154484,376.37466,330.98352,0.14542782,392.64825,327.1511,0.06468062,22.315168,597.01416,0.065502614,406.0409,337.86887,0.08592772
33,46.237896,45.50535,0.038210295,397.6485,331.28827,0.0542208,29.435575,605.37366,0.06701569,389.53207,309.03745,0.04733687,52.600513,581.08295,0.05632878,374.8834,320.95615,0.12099602,378.83075,329.91846,0.14996122,376.1245,329.94574,0.12956253,387.2012,327.30386,0.06329061,22.535965,596.9832,0.08505418,29.624996,597.547,0.07745543
34,590.5107,446.16318,0.045121636,548.7945,589.9376,0.07155338,29.361921,605.45435,0.06379466,582.0374,582.55133,0.034461193,52.69075,595.12756,0.05383697,31.888544,604.38727,0.09686299,515.5187,290.1029,0.08772858,17.839996,595.7057,0.09642443,583.76825,578.70166,0.06639636,22.494968,597.0303,0.08146007,29.822662,597.52124,0.07521553
35,549.34094,581.36237,0.043055728,548.5068,589.8315,0.06959541,29.390602,605.4124,0.067315236,36.726807,21.568514,0.023673244,20.87614,612.8272,0.051580675,32.14331,604.4999,0.11316532,548.2001,585.8438,0.07250271,17.886465,595.4831,0.1042997,26.894379,596.12976,0.06522401,22.468256,596.9399,0.09085926,29.445284,597.51056,0.08466027
36,590.5815,302.1399,0.040782288,45.5816,45.96798,0.03222993,29.312859,605.1968,0.06903358,598.2802,582.55164,0.027168784,52.234188,581.2732,0.07784809,38.100548,597.995,0.13684845,590.4975,585.9815,0.029397923,17.888744,595.4964,0.106343724,583.6035,578.39935,0.060059316,22.882772,596.3593,0.094403856,22.429123,595.6906,0.08835348
37,45.63416,125.30298,0.037070397,532.6555,396.75717,0.08991586,28.916723,605.1513,0.054313704,533.7923,388.45438,0.08415886,20.701893,613.0832,0.03647837,532.61694,383.4526,0.11513607,537.306,393.60486,0.16822474,536.9169,392.1476,0.13036323,583.87427,592.6293,0.07290912,22.157871,596.9028,0.06466425,541.07983,395.26562,0.066736415
38,590.23267,366.1995,0.038642216,501.2046,460.08023,0.04792202,29.02281,605.3075,0.058406636,533.14606,373.07806,0.033247158,20.72948,613.16504,0.03921461,501.41998,448.28473,0.08294704,500.06876,465.3446,0.13003646,505.33453,455.67746,0.1018214,187.6515,27.287638,0.050458428,22.294506,596.96594,0.06471947,30.320774,597.58936,0.05490691
