scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
30,20.01549,597.63477,0.033484768,467.46436,596.46576,0.0292265,18.71553,350.02872,0.03769366,34.04434,21.396393,0.041931752,585.9041,585.4975,0.048552044,585.18115,594.96796,0.052543882,10.304527,593.5484,0.041288104,584.94354,593.3133,0.12031783,584.66003,592.66046,0.06943873,12.661802,19.83862,0.026849221,598.39435,579.1759,0.035976887
31,20.120907,597.81696,0.036492392,467.44858,596.40875,0.02906452,18.895052,341.80725,0.05716428,34.017498,21.421972,0.039878856,586.15967,585.5461,0.043661904,585.3614,595.2094,0.046570037,10.213586,593.57446,0.046181027,585.28357,593.5779,0.09925593,585.03687,592.8838,0.06425538,12.635368,19.853584,0.025065139,598.3027,579.10614,0.033781156
32,20.029795,597.8598,0.03588575,467.48654,596.32916,0.028400546,19.17636,341.59915,0.082012884,33.922928,21.490454,0.03949652,585.95483,585.52386,0.0474081,585.2644,595.06055,0.050371807,10.255123,593.67926,0.04473243,585.04,593.42926,0.114676826,584.7526,592.6941,0.06633262,12.627832,19.848078,0.02775029,598.297,579.2939,0.036432225
33,578.61096,597.2276,0.035868134,483.43158,596.3465,0.030670116,18.815887,341.81766,0.043870937,33.9825,21.438297,0.041007046,585.6943,585.30054,0.051810205,584.9491,594.94836,0.056035366,10.191911,593.6727,0.044315502,584.77264,593.25824,0.12149828,584.486,592.4448,0.070497416,12.628592,19.898245,0.02744621,598.2929,579.4218,0.03788678
34,578.6311,597.03156,0.039117634,562.90735,595.81616,0.029711626,19.404203,341.4202,0.07824814,33.90373,21.474352,0.042201582,585.76117,585.2085,0.052640334,584.913,595.10895,0.05415799,10.218445,593.66266,0.044319794,584.8467,593.26953,0.11991585,584.6228,592.41156,0.07259046,12.5892,19.860334,0.027472474,598.1431,579.22253,0.03860084
35,578.66394,596.96063,0.03705737,523.9029,443.4858,0.028524851,18.63372,21.599901,0.032789007,34.01737,21.444231,0.038734473,586.06165,585.31647,0.053750295,585.1971,595.2136,0.05969104,10.159296,593.49316,0.04727722,585.1545,593.3622,0.115820244,584.89655,592.7616,0.071503796,12.6261835,19.878178,0.026500054,598.1949,579.1994,0.037578363
36,20.0169,597.63965,0.04795716,475.8489,187.80717,0.019989735,18.623531,604.7263,0.032775667,34.301968,21.26134,0.041142788,9.913243,595.6884,0.045226406,585.79315,595.0038,0.041913506,10.338572,593.8238,0.049549676,25.965794,593.98975,0.096834086,585.0641,593.0493,0.059623584,12.550708,19.842398,0.023228914,598.61755,579.1063,0.028252391
37,578.6275,597.0198,0.034499586,412.04016,315.52515,0.032393135,18.771704,604.98016,0.033232633,33.98052,21.380688,0.037400283,585.9963,585.343,0.0533499,585.2162,595.15204,0.058198284,10.166616,593.73834,0.049391575,585.108,593.39166,0.11733434,584.93396,592.7359,0.071127206,12.62265,19.8446,0.0309669,598.1233,579.2264,0.03801305
38,20.046015,598.0279,0.040450264,395.86325,395.55484,0.033536077,18.577284,21.755566,0.03477499,33.886898,21.453007,0.03877238,586.0196,585.3647,0.04811158,585.2787,594.9337,0.05265546,9.976771,593.54913,0.045590073,585.0683,593.501,0.11854369,584.58813,592.5789,0.06902,12.653624,19.840113,0.029443607,598.3759,579.24207,0.033402115
39,19.946463,597.91174,0.041278075,443.89136,107.450836,0.033034895,18.623245,21.72937,0.03670605,33.806667,21.525839,0.03627056,585.9829,585.4546,0.0471647,585.17487,595.08057,0.052187286,10.012666,593.6642,0.04664132,585.04065,593.40576,0.11397313,584.7119,592.68604,0.06868245,12.628877,19.84009,0.02857615,598.40076,579.22327,0.036681555
