scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
29,302.3687,156.76299,0.7904637,301.37665,168.08293,0.595905,226.44298,196.27238,0.45847794,206.9991,221.70474,0.8084692,204.66753,239.04424,0.7718871,212.57387,276.09628,0.5472359,226.83412,304.21533,0.5438453,367.1095,171.64066,0.97542715,242.00291,261.58667,0.39822313,220.63733,186.34044,0.4201053,182.47633,258.15167,0.8118064
30,302.31284,157.28282,0.79169023,301.27075,168.76205,0.60165113,228.32845,195.56761,0.50423366,207.5,221.12769,0.80988026,204.72827,238.74432,0.7429922,212.28882,276.11157,0.6173555,226.19984,302.54364,0.54888284,366.22675,171.41374,0.9937566,241.90436,261.25204,0.45042315,221.64972,185.6151,0.40318304,186.18602,256.42413,0.8379825
31,302.2123,157.66304,0.7731153,301.31442,169.33633,0.57569176,229.46838,194.79794,0.5287248,207.0801,221.12137,0.78091085,203.5525,238.72244,0.75517553,211.36824,274.87485,0.6196185,227.7874,301.92853,0.5171464,366.2266,171.30109,1.0,241.70865,260.57544,0.42059615,227.26254,181.66808,0.40613973,186.16707,256.6806,0.8515709
32,302.462,158.25954,0.73847497,301.2055,169.9881,0.5232653,225.85635,195.01091,0.45546377,206.25716,221.68039,0.79644847,202.5742,239.69914,0.77728885,212.84747,274.3014,0.69499433,228.10455,299.7881,0.52983236,366.10052,172.16092,1.0,243.02385,261.64218,0.46040183,225.2425,184.19255,0.46525824,187.25691,255.62146,0.82801086
33,302.13098,159.58485,0.67054087,300.47476,170.50246,0.42204604,225.71645,195.44829,0.458658,206.04672,222.03482,0.82944024,202.48053,240.37451,0.8262292,214.08925,273.47827,0.64572483,228.3148,299.58487,0.55942154,365.60623,173.16719,0.9940955,243.57251,262.5126,0.41557908,225.0568,184.35014,0.51244545,184.53328,258.05157,0.7786719
34,301.66943,161.66005,0.64836544,300.0642,171.76445,0.3559965,226.67403,196.46582,0.45081827,206.23753,221.73125,0.824447,202.47188,240.4834,0.8240834,214.38017,273.39285,0.5775653,229.17934,299.5591,0.53927815,365.00174,173.41338,1.0,244.69101,262.44818,0.3850625,224.78366,183.06885,0.51884186,184.86676,258.05923,0.7694073
35,300.5368,162.66574,0.6000951,299.13043,172.44913,0.31073356,226.1814,195.96071,0.48492625,206.5334,221.45474,0.7967048,203.00018,240.13847,0.81828725,214.00911,271.86203,0.5571874,226.88997,293.37576,0.5453389,365.1443,175.79596,0.9772005,244.48956,261.75076,0.39862186,224.40648,182.96826,0.55516416,185.15857,258.96332,0.7556678
36,298.08685,163.32295,0.56479174,297.21085,177.92377,0.31330538,225.4065,196.32063,0.45599884,207.12036,221.91716,0.75823075,205.82788,239.97688,0.78788465,218.91376,270.67792,0.5559158,227.3453,291.15128,0.5908612,365.75146,176.30872,1.0,321.59222,562.6003,0.42885357,224.36134,183.50127,0.5951507,187.63904,258.98627,0.7177951
37,298.03265,163.81009,0.53949225,297.58328,178.77135,0.28438762,225.61382,195.46356,0.43839625,208.1606,221.94925,0.76968414,206.03922,239.89807,0.7837011,218.59851,270.1572,0.54241794,227.32918,290.75015,0.5784546,366.28265,177.18832,1.0,309.47272,558.06616,0.33269757,224.74821,181.91054,0.61776984,187.95392,260.6498,0.7271144
38,297.2531,163.8417,0.55137694,296.9701,178.59007,0.31951642,222.62038,198.13617,0.44989684,209.72437,221.99983,0.7458633,207.30086,240.45084,0.7803153,216.24915,268.75153,0.56301236,227.19379,289.27545,0.580763,366.68326,176.66374,1.0,308.98892,558.2045,0.33146143,226.16759,181.43765,0.62861264,188.19351,260.91705,0.7167807
