scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
29,255.97392,164.41501,0.8725315,253.68355,182.39433,0.9054536,160.59436,217.94359,0.5732284,133.6042,245.83412,0.91439945,124.05874,267.43503,0.9952983,120.08119,298.52625,0.77292526,125.36655,314.33038,0.58964056,308.24686,182.04575,0.9910643,204.43187,310.25992,0.87141865,211.63246,177.39914,0.6752784,107.83313,287.39557,0.769735
30,254.45944,165.1925,0.8807405,253.79015,182.6125,0.91204643,160.6092,217.8712,0.5748039,133.63612,245.76082,0.91592693,124.10857,267.46436,0.99853086,120.984604,298.6964,0.76179016,126.25197,314.0545,0.5905859,308.1977,181.80898,0.992182,204.52264,310.56042,0.8675109,211.72394,177.34283,0.6669973,108.12857,287.07016,0.7723158
31,254.72908,164.93819,0.88778263,253.72427,182.26758,0.9041481,160.69208,218.06796,0.57159394,133.47902,245.97456,0.92327213,123.88297,267.66513,1.0,120.24873,297.8585,0.8044938,125.01669,313.5831,0.6343392,308.50513,181.67424,1.0,204.9313,310.89407,0.8907121,211.90985,177.308,0.67086035,107.73615,287.14212,0.7679853
32,256.17535,164.37604,0.8832053,253.93753,182.08012,0.9156476,160.80576,217.73315,0.5717302,133.41393,245.94078,0.9299615,124.026115,267.76196,1.0,120.39564,298.86682,0.7938582,125.339806,314.79175,0.5916148,308.35858,181.40947,1.0,203.77318,310.2463,0.87407625,211.63916,177.14418,0.68647695,107.88721,287.58508,0.7675619
33,254.51404,165.07825,0.88435566,254.13239,182.11267,0.913402,160.60722,218.23126,0.57067174,133.4999,245.95459,0.9194283,124.015434,267.64044,0.99259084,120.13444,298.99954,0.81661534,126.29279,315.5548,0.60620314,308.2495,181.52713,1.0,205.28244,311.13422,0.88460106,211.71793,176.95316,0.6873013,107.632034,287.97815,0.75775886
34,254.62938,165.04562,0.8786118,253.96025,182.29446,0.915965,160.71452,218.04141,0.5642404,133.46278,245.7269,0.91300684,123.989296,267.43604,0.9928914,120.37154,298.13803,0.8134624,125.303154,314.24927,0.6342106,308.33832,181.57022,0.99944615,205.45203,310.79895,0.86750996,211.90869,176.91647,0.6841127,108.04649,287.2176,0.7625549
35,254.44176,165.06526,0.8879773,253.81383,182.22424,0.9206026,160.454,217.80917,0.5686331,133.40639,245.71327,0.9213963,124.046165,267.35907,1.0,121.049416,298.2894,0.78124183,126.17893,313.6967,0.62206185,308.26926,181.59286,1.0,205.30064,309.6821,0.9073916,211.94113,176.96552,0.6889938,107.96458,287.0474,0.77480114
36,254.46553,165.17517,0.8873128,254.21715,181.7677,0.92316806,160.6126,217.53444,0.5635311,136.08833,246.38306,0.8949567,124.56129,266.6986,0.9886469,120.99752,299.0803,0.74600106,125.92724,314.20825,0.58055675,308.19754,182.28333,1.0,205.29407,311.16333,0.8623256,211.6981,177.57057,0.7222796,108.31122,286.9264,0.7830192
37,254.52806,165.30598,0.8938718,254.3672,181.82814,0.92334366,160.57584,217.14099,0.56902397,136.02989,245.92001,0.88238716,124.51187,266.3581,0.9815841,121.48225,299.5672,0.75283957,127.632965,315.3027,0.5625459,308.41153,182.16507,1.0,205.53783,311.7693,0.82468987,211.5642,176.8176,0.71156657,108.56457,286.47446,0.7646805
38,254.60597,165.32536,0.89421535,254.42151,182.00179,0.9215541,160.5268,217.16934,0.5664748,136.08913,245.88057,0.8811069,124.61214,266.34528,0.98642087,121.35245,299.62885,0.7575735,128.0644,315.62732,0.58699423,308.4334,182.1574,1.0,205.72015,311.50528,0.83457106,211.36523,176.93062,0.7073001,108.09306,286.92346,0.7745583
39,254.44098,165.4472,0.8989589,254.38808,182.0024,0.9268944,160.67,217.17825,0.56440765,136.09464,245.8483,0.88314164,124.630936,266.35373,0.9911058,120.903496,300.0493,0.7729598,127.63185,316.9502,0.59134585,308.0632,182.17426,1.0,205.22183,311.07425,0.8397403,211.41234,177.00015,0.7079625,107.85782,287.3304,0.774712
40,254.45708,165.34862,0.8928868,254.20872,181.74686,0.9221228,160.73851,217.06647,0.5700881,136.29459,246.00725,0.880759,124.52303,266.72107,0.98634714,120.66528,299.76605,0.7758514,127.42586,316.63358,0.59891677,307.98187,181.69444,1.0,204.47385,310.10806,0.8524105,211.47899,176.94446,0.70971954,107.94739,287.39972,0.7702616
41,254.47272,165.30885,0.891335,254.10593,182.05829,0.9223555,160.73659,217.13159,0.5617455,134.04039,244.9275,0.8636307,124.40931,266.39728,0.9852574,120.26145,299.28983,0.7802625,127.41997,316.26755,0.6016746,308.06076,181.48291,1.0,203.69919,310.12384,0.84500194,211.659,177.04015,0.71147895,108.32151,286.91608,0.7604239
42,254.19952,165.50389,0.89187735,253.92685,182.28397,0.93189317,160.7412,217.21782,0.5640468,133.95845,244.76227,0.85017794,124.24935,266.07724,0.9852475,120.697624,298.4139,0.7743955,125.794785,314.56265,0.59647214,308.00494,181.60889,1.0,204.23538,309.99435,0.860878,211.86424,177.19524,0.714006,108.192085,286.4919,0.74948025
43,256.25247,164.32668,0.8902056,253.93086,182.03168,0.93541676,160.68465,217.19508,0.5713621,134.06572,245.10754,0.8729343,124.3605,266.724,0.98636115,120.19657,298.59467,0.7815584,125.44081,314.827,0.6065309,307.92514,181.82037,0.99743557,204.71783,311.24744,0.86199087,211.82089,177.1643,0.70912075,108.34121,286.97614,0.7474684
44,255.99632,164.44194,0.89666015,253.67613,182.03734,0.930345,160.60234,217.16618,0.5650642,134.06572,245.16454,0.86516136,124.34781,266.6634,0.97617227,120.870445,298.27072,0.7599285,125.45826,313.96045,0.60852945,307.63727,181.37416,1.0,204.65613,311.11185,0.85305977,211.82408,177.35703,0.7028895,108.592995,286.62674,0.7365438
45,256.01465,164.61394,0.89243454,253.62013,182.23901,0.92776245,160.76944,217.43309,0.56869954,134.07768,245.46056,0.87459373,124.476074,267.00354,0.97037935,121.56218,299.04245,0.73606986,125.67763,314.01086,0.56026447,307.62735,181.39865,1.0,204.62059,310.86014,0.8503535,211.89113,177.27878,0.69830894,108.997734,286.62366,0.73806286
