scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
30,222.71292,232.57602,0.719203,220.72064,256.22372,0.76631516,142.81645,317.1557,0.6328394,111.54396,355.73633,0.9114883,100.914955,376.30466,0.9783857,99.649925,409.42038,0.8199042,105.573746,425.80264,0.7846327,281.35223,257.0185,0.7937173,186.50897,412.63754,0.8047556,178.69899,240.23434,0.8508981,86.24962,382.05014,0.7209789
31,222.70158,232.45274,0.7060252,220.68147,256.3,0.7623527,142.72154,317.2807,0.6226834,111.35422,355.7554,0.90957546,100.9463,376.49423,0.97816515,100.1541,410.29248,0.8308558,105.73163,426.64093,0.79842705,281.42822,257.01358,0.7964775,185.91743,411.9851,0.8017906,178.68735,240.40947,0.8455024,86.1576,382.4199,0.74629927
32,222.66702,232.3681,0.7097131,220.74191,256.14395,0.759121,142.70403,317.3415,0.62179804,111.331474,355.26065,0.90898556,100.846245,376.17673,0.9872284,100.45278,410.36188,0.82011545,106.739746,427.02454,0.7942249,281.59125,256.85703,0.79102004,186.31769,412.338,0.79701555,178.82751,240.17352,0.85169065,86.1155,381.75986,0.753839
33,222.49767,232.69084,0.7136032,220.75417,256.5009,0.772108,142.44264,317.4412,0.6170297,111.26644,355.35394,0.8889684,100.73813,376.0284,0.962289,100.1159,410.15222,0.825898,106.40491,426.80057,0.7918378,281.43143,256.85617,0.7944232,186.67958,412.5091,0.78470093,178.66599,240.1923,0.8529986,86.253365,381.56168,0.7537132
34,222.57643,232.63654,0.7077423,220.54303,256.02252,0.75619954,142.69032,317.1356,0.6188113,111.38163,355.21777,0.90253985,100.76379,376.1535,0.97773534,98.93983,409.24234,0.8161562,104.96791,425.45508,0.74804676,281.37823,256.8031,0.7892655,186.29414,412.1489,0.80415195,178.70107,240.25491,0.8503863,85.96459,381.27573,0.75686765
35,222.58894,232.76329,0.7004549,220.60165,256.20685,0.7493839,142.4548,316.9812,0.6234629,111.28596,355.2959,0.9019326,100.92161,376.17255,0.97613007,99.303795,409.6807,0.8314932,104.80753,426.14145,0.8018318,281.29303,256.84402,0.79126114,186.8591,412.16766,0.81055725,178.58762,240.28235,0.8530652,85.85437,381.31366,0.77237636
36,222.80486,232.82257,0.67046165,220.90773,256.83398,0.6997032,142.95609,316.72784,0.6256312,111.435425,355.3248,0.9092576,101.358635,376.39594,0.9857318,99.693275,409.46182,0.77925664,105.25996,425.72427,0.704604,281.10858,256.60077,0.76481515,188.99754,412.02335,0.8103185,178.50911,240.39389,0.83412045,86.375626,380.699,0.81073856
37,219.74936,233.96701,0.69310784,221.45952,257.03827,0.7412661,142.6749,316.7473,0.61449134,111.381195,355.30722,0.88535017,101.38419,375.9065,0.97090775,100.27274,410.06033,0.83127815,106.65449,427.05212,0.8182584,281.157,256.59753,0.7594398,186.70523,412.1315,0.7972983,178.78584,240.4864,0.8581463,86.47416,381.70288,0.80468136
38,222.86166,232.54094,0.70374984,221.32207,256.6467,0.7203126,142.72777,316.70718,0.6172639,111.316414,355.35358,0.8662621,101.23999,375.87305,0.9641514,99.90362,409.55692,0.8201254,106.14828,426.45425,0.8106957,280.9573,256.62268,0.76819265,186.54,412.146,0.8033384,178.71826,240.43063,0.8489218,86.298874,381.855,0.79229766
39,222.97618,232.7287,0.6895929,221.43587,256.76584,0.72633964,142.72913,316.6937,0.6097847,111.52862,355.4006,0.88912,101.1532,376.05984,0.97930986,100.721794,410.41742,0.8029943,107.362816,428.03317,0.7896001,280.92316,256.65277,0.77070844,185.68674,411.76773,0.78630835,178.69789,240.54991,0.84637696,86.445984,382.09167,0.8051682
