scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
30,229.01741,242.33112,0.99598676,233.91486,255.31126,0.9549168,185.82088,331.7734,0.91570866,170.5506,374.50806,0.84481484,169.39891,393.73584,0.74063045,163.09998,428.1542,0.98955244,170.98372,445.63055,0.9353719,298.23343,252.90813,0.8468685,256.10925,409.36926,0.6819677,182.26555,249.75728,0.9629875,136.32022,403.40945,0.95348114
31,229.6306,242.36412,0.97465664,234.31126,255.34366,0.9134347,186.13394,332.17014,0.9538614,170.53502,374.77225,0.9174177,169.00252,392.76495,0.82194823,163.61006,428.239,0.99019915,171.32841,445.78436,0.9511597,298.90555,252.8688,0.8130323,256.73743,410.00897,0.7125385,182.60512,249.98627,0.96631056,136.93008,403.72858,0.9317858
32,230.68652,242.28389,0.94349104,235.3569,255.36903,0.8606103,186.44728,332.51617,0.98460144,171.3739,375.00165,0.8299663,169.69656,392.94867,0.7145823,163.89922,428.10095,0.9804892,171.59744,445.8442,0.9424774,300.32306,253.42796,0.8112475,257.32922,410.2497,0.71739095,183.0835,250.13652,0.9606162,137.69817,403.91437,0.9451552
33,231.36273,242.66393,0.9410865,233.25597,256.6319,0.84197056,187.24954,332.63358,1.0,172.39812,375.14987,0.8608603,170.24155,393.669,0.74382174,165.65509,428.43982,0.9529431,173.79774,446.3766,0.93051845,301.33307,252.61816,0.7639313,258.88477,410.5067,0.72152215,183.85901,249.40456,0.96066844,139.47757,405.12228,0.9819917
34,230.47092,243.10628,0.95018977,234.33046,256.84714,0.8618794,187.94519,333.03625,1.0,172.81882,375.37552,0.9056194,170.90512,394.64517,0.78506714,166.32195,427.58026,0.949829,174.82811,446.26154,0.94137293,302.06857,254.16869,0.7602379,260.20078,411.39786,0.70521027,184.50055,250.11855,0.92569196,140.62532,406.7762,0.98778754
35,231.3144,243.07036,0.9580723,235.00754,257.0572,0.87229437,189.39748,333.11334,1.0,173.98578,375.2339,0.89290786,172.32393,394.95828,0.7928967,167.09224,427.57172,0.9623365,175.68117,446.20914,0.9379126,302.20578,254.67867,0.7816571,261.92523,411.15472,0.7494728,184.73906,250.21344,0.927034,141.76152,407.9684,0.95756936
36,231.92078,242.99748,0.94449204,235.6139,257.01135,0.8577571,190.63316,333.57166,1.0,175.1427,375.99948,0.9345877,173.33517,395.7783,0.8301409,167.67831,429.54745,0.92012507,175.34288,444.12607,0.9063652,301.37613,254.2786,0.7708617,261.49628,411.46884,0.8227639,185.4149,249.78441,0.9033872,141.61305,406.86066,1.0
37,232.77197,243.13753,0.96225786,236.25351,257.1635,0.87774444,191.57152,333.91452,1.0,175.64488,375.22583,0.9611218,173.53499,396.28668,0.8284412,169.5283,429.9274,0.9912017,175.6791,447.35547,0.9477031,301.54315,254.2616,0.76328003,261.70825,411.67728,0.842398,185.67686,250.49437,0.89604145,143.05292,408.13162,0.98380196
38,233.21622,243.33931,0.9699534,236.5961,257.36798,0.89265347,193.03622,334.21808,1.0,176.49184,375.9327,1.0,173.79492,397.69144,0.8343148,171.10643,430.90155,1.0,177.99329,446.76993,1.0,302.03537,254.63321,0.7672051,262.4223,411.9336,0.8070966,185.85133,250.6964,0.9113464,144.3733,409.3263,0.94884235
39,233.62245,243.77531,0.97651714,237.11989,257.9411,0.89149183,194.20323,334.6024,1.0,177.78253,376.82095,1.0,174.89267,398.347,0.871771,172.27689,432.14053,1.0,178.55463,447.77573,1.0,302.34375,254.94943,0.8117844,262.3799,412.39502,0.8425669,185.88982,251.06184,0.9094818,142.9077,409.26816,0.9220313
