scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
34,391.61914,221.01189,0.9873021,386.78207,239.51913,1.0,418.1299,299.58575,1.0,416.4913,342.7883,0.98238236,419.86996,361.637,1.0,407.98273,406.93616,0.65305495,406.5419,426.19284,0.79129577,433.08908,230.20776,1.0,451.1224,377.11,0.98809856,314.27454,225.30408,0.90815735,337.9728,372.12384,0.94955164
35,391.5827,221.08629,0.9836963,386.68512,239.72572,1.0,418.26938,299.4859,1.0,416.7223,342.4988,0.97802556,420.13074,361.453,1.0,407.6028,406.93085,0.6310448,406.64505,425.80545,0.8250271,433.36328,230.59848,1.0,451.08047,376.483,0.97749233,314.36383,226.06369,0.9194941,337.47562,372.46442,0.934921
36,391.44666,221.67203,0.9797025,386.23218,239.35326,1.0,417.65625,299.6158,1.0,416.72403,342.32886,0.9729161,420.01346,360.9298,1.0,408.9844,406.2096,0.672028,406.83206,424.21005,0.8424354,432.8127,230.26549,1.0,450.75665,375.55234,0.96782076,314.38116,227.2107,0.88732415,337.24893,371.1203,0.89540577
37,391.90887,221.8174,0.99884254,387.0171,239.5733,1.0,418.37915,299.36072,1.0,416.53406,342.39606,0.9769323,419.83063,360.7048,1.0,409.5514,404.1709,0.67611223,408.24927,422.0899,0.8536872,432.95273,230.25887,1.0,450.84222,375.5135,0.96419054,314.41873,227.49577,0.8984476,338.16428,371.4645,0.9130009
38,391.82516,221.83495,1.0,386.70554,239.40585,1.0,418.4662,299.4843,1.0,416.50302,342.58292,0.9743587,419.68585,360.64325,1.0,408.6206,404.56107,0.6644676,407.38605,422.204,0.8771692,432.93973,230.233,1.0,451.42896,372.29858,0.9467357,313.7829,227.12128,0.8996284,336.65533,371.01678,0.9040393
39,391.5527,221.83568,1.0,386.24307,239.57121,1.0,418.26764,299.56445,1.0,416.40546,342.40134,0.99437416,419.47232,360.53714,1.0,408.37357,405.07288,0.6725304,406.79626,422.78064,0.88361293,433.02335,230.4088,1.0,451.91574,371.9972,0.9606835,314.1618,227.0753,0.90110636,336.3322,370.97403,0.9039219
40,391.833,221.95253,1.0,386.51154,239.62677,1.0,418.22116,300.344,1.0,416.26025,341.6777,1.0,419.4695,360.0295,1.0,408.21854,403.3156,0.6965699,406.83237,419.80185,0.8824917,433.13712,230.39836,1.0,451.90073,372.28543,0.9834787,314.06558,227.20033,0.8877684,335.92972,370.10632,0.8861405
41,391.80798,222.29942,1.0,386.227,239.74507,1.0,418.371,300.11008,1.0,416.45456,341.36493,1.0,419.609,359.64288,1.0,408.45367,403.3556,0.6828049,406.95984,420.04178,0.8675584,433.1669,230.24283,1.0,452.0255,372.4213,0.96589434,314.574,226.80775,0.89051527,335.7284,368.43384,0.88771594
42,392.01654,222.5022,1.0,386.7057,240.00958,1.0,418.33368,300.13205,1.0,416.8112,341.3989,1.0,419.94,359.67694,1.0,408.9379,402.42673,0.6763233,407.60986,418.70523,0.8706756,433.19824,230.21678,1.0,451.946,371.4534,0.98998797,314.29272,226.72685,0.89294624,335.82773,368.44778,0.86812466
43,391.85208,222.52667,1.0,386.49112,240.00252,1.0,418.75287,300.0694,1.0,416.76163,340.9208,1.0,419.59875,359.17407,1.0,408.6246,402.8457,0.6510898,407.41614,419.90903,0.8476372,433.2674,230.14693,1.0,452.12854,371.89587,0.9820089,314.12933,226.71172,0.8975272,336.26077,369.08188,0.8785437
