scorer,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
30,358.69983,194.02025,0.82824063,359.14035,209.3691,0.8024343,404.07367,247.2805,0.8356129,414.1874,281.98834,0.7640045,418.57043,298.93558,0.83806336,433.58282,337.23334,0.61346614,426.217,353.13828,0.46429083,406.68716,199.8744,0.8976695,457.88315,321.9927,0.74090385,286.36728,218.10927,0.92293584,344.9297,351.923,0.9066486
31,359.226,193.93002,0.83569646,359.71558,209.45284,0.8096035,404.56555,247.1,0.8325584,414.74374,282.49927,0.7613834,418.82928,299.0206,0.8465987,433.02164,336.93933,0.6411005,430.7461,349.84088,0.5140853,406.6501,199.76877,0.9289682,457.72354,323.09048,0.73748577,287.17325,218.13805,0.8981609,344.85135,352.27402,0.8970855
32,358.65234,194.01909,0.83818716,359.4973,209.32004,0.8025948,404.6357,246.76465,0.8359493,414.89746,282.03418,0.72362465,419.43134,298.71716,0.79144365,433.87292,336.8533,0.64541876,430.97775,349.9521,0.5016758,406.78943,199.58844,0.9168355,458.0363,322.9139,0.75745904,287.15442,217.81169,0.89659345,344.87973,352.93655,0.8899262
33,358.73804,193.74754,0.8499221,359.47418,209.08249,0.8282266,405.15198,246.9522,0.82111233,415.30435,282.7092,0.7313915,419.63928,299.09705,0.7852054,435.84457,336.94745,0.6486845,432.29758,351.20554,0.4673053,406.82013,199.33713,0.91455156,458.26706,321.5182,0.76649255,287.179,218.26419,0.9073781,344.47726,350.52405,0.86520606
34,358.963,193.39102,0.8584349,359.92975,208.80765,0.82138664,405.33447,247.16321,0.82384825,415.45444,282.75064,0.74562716,419.8763,299.23456,0.8083976,435.71234,337.20398,0.65928084,432.52997,351.62274,0.49350274,406.82544,199.32257,0.91030496,458.4774,321.65643,0.7779803,287.42078,218.29456,0.90330684,344.97223,350.6829,0.84990615
35,359.207,193.68582,0.85444844,359.88507,209.1178,0.808877,405.48053,246.99573,0.81509024,415.4062,283.01093,0.7487482,419.4639,299.29358,0.8044982,435.6697,336.9632,0.606267,439.69937,349.71036,0.44891873,406.6432,199.49727,0.91984975,458.63202,321.58813,0.7844543,287.7923,218.3495,0.8979297,343.35492,350.4725,0.8641901
36,359.73465,193.53444,0.8662061,361.5444,208.50443,0.80940837,404.32764,251.58783,0.821709,416.19336,282.3354,0.702373,421.07208,298.918,0.7924412,434.7038,336.58838,0.66110045,430.28143,349.8769,0.5135267,406.89575,199.91826,0.88885206,458.5116,322.22812,0.8043698,287.6453,218.64417,0.9014466,344.91827,351.0589,0.80829006
37,359.70016,193.36162,0.86216056,360.19855,208.93379,0.8090199,404.2518,251.27864,0.8103771,415.99707,281.68015,0.6953198,421.21405,298.22116,0.7765039,435.80603,336.7197,0.6802169,431.93393,351.3459,0.5058695,406.8624,200.07292,0.9121514,458.8823,321.48108,0.8021979,287.9312,218.63731,0.8605155,345.14337,351.38074,0.8914883
38,359.62857,193.89142,0.8561301,361.33246,208.87341,0.81041694,404.5646,251.59798,0.79923874,416.4675,281.85892,0.69851685,421.8303,298.44705,0.75037694,436.78616,336.5806,0.6790343,431.86578,351.71713,0.4767977,406.87448,199.97736,0.9143761,458.31738,319.87665,0.7716766,288.0481,218.3253,0.87599766,345.44632,351.6996,0.8783378
39,359.7466,193.62553,0.8557681,361.17618,208.38293,0.80257106,404.61588,251.46213,0.79242927,416.60178,281.95956,0.6868262,422.00034,298.4108,0.75664586,436.4222,335.9669,0.64091104,431.51367,351.03748,0.47341543,406.8812,199.9072,0.9179834,458.11444,319.61328,0.7582321,288.1697,218.09464,0.8607805,345.3773,350.77902,0.8801383
40,359.72064,193.96053,0.8548124,361.30328,208.5884,0.8059827,404.9103,251.68152,0.77998924,417.2805,282.27713,0.7160557,422.33276,299.2845,0.7972939,436.11935,336.2968,0.66496336,438.99875,348.9349,0.46131843,406.8154,199.86142,0.9170592,458.93378,320.5762,0.7993817,288.23212,217.93584,0.8469495,346.03232,351.2133,0.8855075
41,360.38168,193.96564,0.8755513,361.9558,208.82233,0.8301638,404.8377,251.47939,0.7824079,414.91727,281.5344,0.71837705,422.82648,299.89233,0.7985466,436.1947,336.81335,0.6319358,432.4521,351.8809,0.43337002,407.03195,199.9223,0.9207271,458.99136,320.62427,0.785303,288.0879,218.52777,0.8586673,345.84937,351.3259,0.8674422
42,360.29645,193.57953,0.88636506,361.63242,208.34448,0.8341876,405.19778,251.38335,0.7805449,415.06107,281.3227,0.7204551,422.86218,299.50803,0.77952486,436.19925,336.8527,0.6413268,432.47925,351.76743,0.4498158,407.2845,199.83752,0.91361684,459.39563,321.07104,0.7927988,288.32602,218.79807,0.88041615,346.41943,351.0616,0.8431281
43,360.4012,193.68764,0.8953255,361.77585,208.55602,0.84454393,405.45544,251.47432,0.7725325,415.42307,281.81543,0.73446834,423.19995,299.58304,0.77811885,435.86993,336.27908,0.6519852,439.33118,349.13077,0.47666407,407.30002,199.62929,0.90185535,459.3654,321.4592,0.80098486,288.12402,218.41225,0.86192954,345.9948,351.3066,0.86378837
44,360.18738,193.9421,0.8845022,361.83862,208.64407,0.8367967,405.69574,251.49622,0.7711167,415.65485,282.16144,0.7332308,423.32288,300.17743,0.7550782,436.15665,337.03668,0.6241298,431.64694,350.09225,0.46080324,407.56815,199.6526,0.9107398,459.67896,321.47083,0.8030165,288.34235,218.42696,0.8494519,344.9455,349.601,0.8624171
45,360.3688,194.39511,0.89309686,361.98886,208.91187,0.835769,406.05518,251.40845,0.7599757,416.0639,282.08698,0.746428,424.0458,300.31076,0.7537293,436.13757,337.42178,0.6341635,432.46707,352.0578,0.44732416,407.8126,199.7559,0.9144336,460.1737,322.60464,0.8002359,288.706,218.40926,0.84540164,346.4503,350.63217,0.8507549
